"File","TSLines","HTMLLines","Methods","CRUDHits"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\pages\orders\components\verified-order\verified-order.ts","9","1","0","0"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\pages\orders\components\verified-order\verified-item\verified-item.ts","9","1","0","0"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\pages\reports\components\report-table\report-table.ts","9","1","0","0"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\pages\reports\components\report-filter\report-filter.ts","9","1","0","0"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\pages\reports\components\inventory-report\inventory-report.ts","9","1","0","0"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\pages\orders\components\new-order\order-item\order-item.ts","9","1","0","0"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\pages\billing\components\checkout-dialog\checkout-dialog.ts","9","1","0","0"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\pages\billing\components\cart-item\cart-item.ts","9","1","0","0"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\pages\orders\components\pickup-order\pickup-order.ts","9","1","0","0"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\pages\orders\components\pickup-order\pickup-item\pickup-item.ts","9","1","0","0"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\pages\orders\components\new-order\new-order.ts","9","1","0","0"
